name,en_name
博丽灵梦,hakurei_reimu
雾雨魔理沙,kirisame_marisa
博丽灵梦,hakurei_reimu
神玉,singyoku
魅魔,mima
菊理,kikuri
矜羯罗,konngara
幽幻魔眼,yuugenmagan
依莉斯,elis
萨丽爱尔,sariel
玄爷,genjii
里香,rika
明罗,meira
爱莲,ellen
小兔姬,kotohime
卡娜·安娜贝拉尔,kana_anaberal
朝仓理香子,rikako_asakura
北白河千百合,chiyuri_kitashirakawa
冈崎梦美,yumemi_okazaki
咪咪号,mimichan
留琴,ru~koto
奥莲姬,orange
胡桃,kurumi
艾丽,elly
幽香,yuka
梦月,mugetsu
幻月,gengetsu
萨拉,sara
露易兹,luize
爱丽丝,alice
雪,yuki
舞,mai
梦子,yumeko
神绮,shinki
露米娅,rumia
大妖精,daiyousei
琪露诺,cirno
红美铃,hoan_meirin
小恶魔,Koakuma
帕秋莉·诺蕾姬,patchouli_knowledge
十六夜咲夜,izayoi_sakuya
蕾米莉亚·斯卡蕾特,remilia_scarlet
芙兰朵露·斯卡蕾特,flandre_scarlet
冴月麟,satsuki_rin
蕾蒂·霍瓦特洛克,letty_whiterock
橙,chen
爱丽丝·玛格特洛依德,alice_margatroid
莉莉霍瓦特,lilywhite
露娜萨·普莉兹姆利巴,lunasa_prismriver
梅露兰·普莉兹姆利巴,merlin_prismriver
莉莉卡·普莉兹姆利巴,lyrica_prismriver
魂魄妖梦,konpaku_youmu
西行寺幽幽子,saigyouji_yuyuko
八云蓝,yakumo_ran
八云紫,yakumo_yukari
魂魄妖忌,konpaku_youki
蕾拉·普莉兹姆利巴,layla_prismriver
伊吹萃香,ibuki_suika
莉格露·奈特巴格,wriggle_nightbug
米斯蒂娅·萝蕾拉,mystia_lorelei
上白泽慧音,kamishirasawa_keine
因幡天为,inaba_tewi，inaba tei
铃仙·优昙华院·因幡,reisen_udongein inaba
八意永琳,yagokoro_eirin
蓬莱山辉夜,houraisan_kaguya
藤原妹红,huziwara_no mokou
梅蒂欣·梅兰可莉,medicine_melancholy
风见幽香,kazami_yuka
小野塚小町,onozuka_komachi
四季映姬·夜摩仙那度,shikieiki_yamaxanadu
秋静叶,aki_sizuha
秋穰子,aki_minoriko
键山雏,kagiyama_hina
河城荷取,kawasiro_nitori
犬走椛,inubashiri_momizi
东风谷早苗,kochiya_sanae
八坂神奈子,yasaka_kanako
洩矢诹访子,moriya_suwako
永江衣玖,nagae_iku
比那名居天子,hinanawi_tenshi
大鲶鱼,oo-namazu
琪斯美,kisume
黑谷山女,kurodani_yamame
水桥帕露西,mizuhashi_parsee
星熊勇仪,hoshiguma_yugi
古明地觉,komeiji_satori
火焰猫燐,kaenbyou_rin
灵乌路空,reiuji_utsuho
古明地恋,komeiji_koishi
娜兹玲,nazrin
多多良小伞,tatara_kogasa
云居一轮&云山,kumoi_ichirin&unzan
村纱水蜜,murasa_minamitu
寅丸星,toramaru_shou
圣白莲,hijiri_byakuren
封兽鵺,houjuu_nue
姬海棠果,himekaidou_hatate
幽谷响子,kasodani_kyouko
宫古芳香,miyako_yoshika
霍青娥,kaku_seiga
苏我屠自古,soga_no toziko
物部布都,mononobe_no futo
丰聪耳神子,toyosatomimi_no miko
二岩猯藏,futatsuiwa_mamizou
秦心,hata_no kokoro
若鹭姬,wakasagihime
赤蛮奇,sekibanki
今泉影狼,imaizumi_kagerou
九十九弁弁,tsukumo_benben
九十九八桥,tsukumo_yatsuhashi
鬼人正邪,kijin_seija
少名针妙丸,sukuna_shinmyoumaru
堀川雷鼓,horikawa_raiko
宇佐见堇子,usami_sumireko
清兰,seiran
铃瑚,ringo
哆来咪·苏伊特,doremy_sweet
稀神探女,kisin_sagume
克劳恩皮丝,clownpiece
纯狐,junko
赫卡提亚·拉碧斯拉祖利,hecatia_lapislazuli
依神女苑,yorigami_jyoon
依神紫苑,yorigami_shion
爱塔妮缇拉尔瓦,eternity_larva
坂田合欢,sakata_nemuno
高丽野阿吽,komano_aunn，komano aun
矢田寺成美,yatadera_narumi
尔子田里乃,nishida_satono
丁礼田舞,teireida_mai
摩多罗隐岐奈,matara_okina
戎璎花,ebisu_eika
牛崎润美,ushizaki_urumi
庭渡久侘歌,niwatari_kutaka
吉吊八千慧,kicchou_yachie
杖刀偶磨弓,joutougu_mayumi
埴安神袿姬,haniyasushin_keiki
骊驹早鬼,kurokoma_saki
饕餮尤魔,toutetsu_yuuma
豪德寺三花,goutokuzi_mike
山城高岭,yamashiro_takane
驹草山如,komakusa_sannyo
玉造魅须丸,tamatsukuri_misumaru
菅牧典,kudamaki_tsukasa
饭纲丸龙,iizunamaru_megumu
天弓千亦,tenkyu_chimata
姬虫百百世,himemushi_momoyo
孙美天,son_biten
三头慧之子,mitsugashira_enoko
天火人血枪,tenkajin_chiyari
豫母都日狭美,yomotsu_hisami
日白残无,nippaku_zanmu
尘塚姥芽,chirizuka_ubame
封兽魑魅,houju_chimi
道神驯子,michigami_nareko
射命丸文,shameimaru_aya
森近霖之助,morichika_rinnosuke
无名的读书妖怪,unnamed_book-reading youkai
桑尼米尔克,sunny_milk
露娜切露德,luna_child，lunar child
斯塔萨菲雅,star_sapphire
绵月丰姬,watatsuki_no_toyohime
绵月依姬,watatsuki_no_yorihime
Reisen,reisen
嫦娥,chang'e
稗田阿求,hieda_no_akyuu
茨木华扇,ibaraki_kasen
本居小铃,motoori_kosuzu
宫出口瑞灵,miyadeguchi_mizuchi
奥野田美宵,okunoda_miyoi
宇佐见莲子,usami_renko
玛艾露贝莉·赫恩,maribel_hearn